web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700580038-888","https://www.alltrails.com/switzerland/bern","","Lauterbrunnen - Grütschalp - Stechelberg","https://www.alltrails.com/trail/switzerland/bern/lauterbrunnen-grutschalp-stechelberg","Lauterbrunnen - Grütschalp - Stechelberg","Lauterbrunnen, Bern, Switzerland","20.4 km","1,299 m","Loop","This technical route involves a few meters of altitude. The path starts in Lauterbrunnen at the train station in the middle of the Lauterbrunnen Valley. There are also the well-known Staubbach waterfalls. The trail climbs over the Allmendhubel and Mürren to Grimmelwald. The way back is relatively flat and leads along the Weisse Lütschine and past several of the famous waterfalls.","Hard","4.7","(34)","BackpackingHikingMountain bikingBird watchingRunningDog friendlyForestLakePartially pavedRiverViewsWaterfallWildflowersWildlife"
"1700580045-889","https://www.alltrails.com/switzerland/bern","","Wengen - Kleine Scheidegg - Alpinglen","https://www.alltrails.com/trail/switzerland/bern/wengen-to-kleine-scheidegg-to-alpinglen","Wengen - Kleine Scheidegg - Alpinglen","Wengen, Bern, Switzerland","13.0 km","819 m","Point to point","The start of this tour is in Wengen, a very well-known village that every year has several races at the World Cup in Alpine skiing, such as the world-famous Lauberhorn race. One descent to Wengen. Then it goes to Kleine Scheidegg, a pass between Eger and Lauberhorn in the Bernese Oberland. This pass connects Grindelwald and Lauterbrunnen.","Hard","4.8","(31)","BackpackingHikingRunningForestRiverViewsWildflowersWildlife"
"1700580052-890","https://www.alltrails.com/switzerland/bern","","Stählisboden - Glecksteinhütte - Chrinnenhorn","https://www.alltrails.com/trail/switzerland/bern/stahlisboden-glecksteinhutte-chrinnenhorn","Stählisboden - Glecksteinhütte - Chrinnenhorn","Grindelwald, Bern, Switzerland","13.4 km","1,637 m","Out & back","The path starts in Stählisboden in the canton of Bern and climbs up to the summit of the Chrinnenhorn. This is located on the west ridge of the Wetterhorn near Grindelwald. The mountain can be hiked from Grindelwald via the Glecksteinhütte (2317m) in four hours, and the peak is located at 2736 meters.","Hard","4.8","(53)","BackpackingHikingBird watchingRunningForestLakeRiverViewsWaterfallWildflowersWildlifeRockyScrambleSnowNo shade"
"1700580061-891","https://www.alltrails.com/switzerland/bern","","Romantikweg: Männlichen - Alpigen","https://www.alltrails.com/trail/switzerland/bern/romantikweg-mannlichen-alpigen","Romantikweg: Männlichen - Alpigen","Wengen, Bern, Switzerland","7.7 km","8 m","Point to point","Discover the world of flowers surrounded by a unique mountain world in the Grindelwald region of the Canton of Bern. Romantic mountain pastures, meadows, globe flowers, alpine roses, cotton grass and gentians await you along the way. From Alp Gummi the path winds its way to Alp Bustiglen and past the Arvengarten to Alpiglen. Perfect from June to October.","Moderate","4.8","(39)","HikingRunningForestLakeRiverViewsWildflowers"
"1700580069-892","https://www.alltrails.com/switzerland/bern","","Schilthorn - Grauseewli - Birg","https://www.alltrails.com/trail/switzerland/bern/schilthorn-grauseewli-birg","Schilthorn - Grauseewli - Birg","Mürren, Bern, Switzerland","3.2 km","138 m","Point to point","This route is the perfect descent hike in the Bernese Alps and is located above Mürren. It begins on the Schilthorn (2973m) and leads to the Birg (2684m). These two peaks are connected with the Schilthornbahn. Along the route is Lake Grauseeli, where it is worth taking a short break.

We recommend checking in advance if this route is open. Even in summer, there can still be snow. Sturdy shoes and sure-footedness are required for this hike.

The starting point can be reached with the Schilthornbahn. Further information, prices, and opening times can be found here:
https://schilthorn.ch/","Moderate","4.6","(51)","HikingBird watchingLakeRiverViewsWildflowersWildlifeRockyScrambleSnowNo shadeFee"
"1700580075-893","https://www.alltrails.com/switzerland/bern","","Lauterbrunnen Panoramaweg","https://www.alltrails.com/trail/switzerland/bern/lauterbrunnen-panoramaweg","Lauterbrunnen Panoramaweg","Lauterbrunnen, Bern, Switzerland","3.1 km","128 m","Loop","","Moderate","4.7","(47)","Kid friendlyHikingRunningDog friendlyForestPartially pavedRiverViewsWildflowersNo shade"
"1700580082-894","https://www.alltrails.com/switzerland/bern","","Bern Old Town Loop","https://www.alltrails.com/trail/switzerland/bern/bern-altstadt-rundweg","Bern Old Town Loop","Bern, Bern, Switzerland","4.8 km","129 m","Loop","This route leads through the old town of Bern and starts at the Marzilibahn. Then it goes past several historical buildings and the Bärenplatz to the Meret Oppenheim fountain. Along the small streets and alleyways, visitors can immerse themselves in the feeling of the city. It also crosses the Aare River several times, thus completing the tour.

Some highlights along this route are:
the Bundesplatz square,
the City Theater,
the Nydegg Church,
the Bear Park,
the Münster,
the Bundeshaus and Parliament building.","Easy","4.4","(50)","Dogs on leashKid friendlyStroller friendlyWalkingRunningForestPavedRiverViewsNo shadeCity walkHistoric site"
"1700580088-895","https://www.alltrails.com/switzerland/bern","","Marmorbruch Gletscherschlucht","https://www.alltrails.com/trail/switzerland/bern/marmorbruch-gletscherschlucht","Marmorbruch Gletscherschlucht","Grindelwald, Bern, Switzerland","1.6 km","135 m","Loop","Great discovery of the marble quarry glacier gorge in grindelwald in the canton of Bern. This gorge was discovered around 1730 and the stones were used a lot. The path starts from the hotel and restaurant Geltscherschlucht. The path also goes to bungee jumping, which is also a way to discover the gorge.","Moderate","4.4","(26)","HikingRunningForestRiverViewsWildflowers"
"1700580094-896","https://www.alltrails.com/switzerland/bern","","Via Alpina Green Trail, Segment 11: Lauterbrunnen - Griesalp","https://www.alltrails.com/trail/switzerland/bern/via-alpina-gruner-weg-etappe-11-lauterbrunnen-griesalp","Via Alpina Green Trail, Segment 11: Lauterbrunnen - Griesalp","Lauterbrunnen, Bern, Switzerland","22.2 km","1,876 m","Point to point","In a southerly direction, it leaves Lauterbrunnen and climbs past rock faces and the Staubbach Falls to Mürren. It is also possible to take the cog railway up to Mürren. Gently uphill, the trail reaches the Alp Poganggen and later the Sefinenfurgga, where hikers can see the Blüemlisalp for the first time. Passing the Dürreberg, it goes down to the segment destination Griesalp.

The overview list for all segments of the Green Trail can be found here: https://www.alltrails.com/lists/via-alpina-green-trail-sucka-lenk","Hard","4.7","(35)","BackpackingCampingHikingRunningForestPartially pavedRiverViewsWaterfallWildflowersWildlifeRockyScrambleSnowNo shadeHistoric site"
"1700580101-897","https://www.alltrails.com/switzerland/bern","","Mürren - Rotstockhütte","https://www.alltrails.com/trail/switzerland/bern/murren-rotstockhutte","Mürren - Rotstockhütte","Mürren, Bern, Switzerland","14.5 km","829 m","Loop","This circular hike starts in Mürren (1636m). The path begins by leading along the Sefinen Lütschine stream and then up to the Rotstockhütte (2339), where hikers can enjoy a beautiful view. Then it goes back on the path of Via Alpina. Just before returning to Mürren, it crosses the Schiltbach near the Spielbodenalp. A beautiful route from the Sefinental to the Lauterbrunnental in the Bernese Oberland.","Hard","4.9","(46)","HikingBird watchingRunningDog friendlyForestPartially pavedRiverViewsWaterfallWildflowersWildlifeRockyNo shade"
"1700580107-898","https://www.alltrails.com/switzerland/bern","","Gimmelwald - Obersteinberg","https://www.alltrails.com/trail/switzerland/bern/gimmelwald-obersteinberg","Gimmelwald - Obersteinberg","Stechelberg, Bern, Switzerland","13.0 km","1,171 m","Out & back","The trail starts in the Gimmelwald village just above Mürren and then comes through the forest. Through open terrain we continue over the Sefi-Litschena stream through the Busenbrand area. It then continues hiking at the foot of the Spitzhorn and reaches the Berghotel Obersteinberg at 1778m.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Hard","4.7","(35)","HikingBird watchingDog friendlyForestRiverViewsWildflowersWildlifeNo shadeFee"
"1700580115-899","https://www.alltrails.com/switzerland/bern","","Beatenberg - Niederhorn - Vorsass","https://www.alltrails.com/trail/switzerland/bern/beatenberg-niederhorn-vorsass","Beatenberg - Niederhorn - Vorsass","Thunerlake Hohgant Nature Park","9.3 km","801 m","Loop","The trail starts at the Beatenberg station in the middle of the Hochgant nature park on Lake Thun. The path then goes up to the Niederhorn. Located at an altitude of 1963 meters above sea level, this peak is located in the Emmental Alps in the Bernese Oberland and is considered the local mountain of Beatenberg in Switzerland. The starting point and arrival point are connected via a cable car.","Hard","4.5","(57)","HikingBird watchingRunningDog friendlyForestLakeRiverViewsWildflowersWildlife"
"1700580125-900","https://www.alltrails.com/switzerland/bern","","Kandersteg - Bergstation via Huble","https://www.alltrails.com/trail/switzerland/bern/kandersteg-bergstation-via-huble","Kandersteg - Bergstation via Huble","Kandersteg, Bern, Switzerland","2.7 km","482 m","Point to point","This path begins at the Kandersteg valley station of the Oeschinensee gondola lift and leads along the Öschibach stream to the Grünewald forest. Then it goes up through the Hublewald until the path reaches the mountain station of the cable car. There one can relax at the Bergstübli mountain restaurant or take a ride on the Oeschinensee toboggan run.","Moderate","4.6","(36)","Kid friendlyHikingRunningForestRiverViewsWildflowers"
"1700580134-901","https://www.alltrails.com/switzerland/bern","","Manor Farm - Beatenberg Suspension Bridge","https://www.alltrails.com/trail/switzerland/bern/manor-farm-hangebrucke-beatenberg","Manor Farm - Beatenberg Suspension Bridge","Unterseen, Bern, Switzerland","5.6 km","365 m","Loop","This great circular hike is located near Interlaken in the Bernese Oberland. The trail starts at Manor Farm and leads through a beautiful forest to the Beatenberg suspension bridge, which is 31 meters high. The 79 m long bridge leads over the Sandbach and offers a fantastic panorama of the deep blue Lake Thun and the Alps. You should be absolutely free from giddiness to cross the bridge.","Hard","4.4","(69)","HikingBeachForestLakeRiverViewsWildflowers"
"1700580141-902","https://www.alltrails.com/switzerland/bern","","Via Alpina Green Trail, Segment 12: Griesalp - Kandersteg","https://www.alltrails.com/trail/switzerland/bern/via-alpina-gruner-weg-etappe-12-griesalp-kandersteg","Via Alpina Green Trail, Segment 12: Griesalp - Kandersteg","Kiental, Bern, Switzerland","16.6 km","1,428 m","Point to point","This wonderful hike departs at the Griesalp and going south climbs past the Bundalp to the Hohtürli (2278m), the highest point on the Via Alpina in Switzerland. Below the Blüemlisalp glacier, it goes down to the Öschinensee Lake. Following its outflow - the Öschinenbach - hikers will reach the final destination: Kandersteg.

The overview list with all segments of the Via Alpina Green Trail can be found here: https://www.alltrails.com/lists/via-alpina-green-trail-sucka-lenk","Hard","4.8","(34)","BackpackingHikingBird watchingRunningForestLakeRiverViewsWaterfallWildflowersWildlifeRockyScrambleSnowNo shadeHistoric site"
"1700580150-903","https://www.alltrails.com/switzerland/bern","","Mülenen - Niesen","https://www.alltrails.com/trail/switzerland/bern/mulenen-niesen","Mülenen - Niesen","Mülenen, Bern, Switzerland","18.2 km","1,689 m","Loop","The Niesen (2362m) is also known as the ""Swiss Pyramid"", a small mountain that offers fantastic views of the Eiger, Mönch, and Jungfrau. A train goes up to the Niesen Kulm, where there is a restaurant and a playground. Visitors can expect beautiful views of Lake Thun and the Jungfrau region.

Further information on the Niesen and the train can be found here:
https://www.niesen.ch/","Hard","4.5","(70)","Dogs on leashHikingBird watchingRunningForestPartially pavedRiverViewsWildflowersWildlifeRockyScramble"
"1700580158-904","https://www.alltrails.com/switzerland/bern","","Gimmelwald - Berghotel Obersteinberg - Stechenberg","https://www.alltrails.com/trail/switzerland/bern/gimmelwald-berghotel-obersteinberg-stechenberg","Gimmelwald - Berghotel Obersteinberg - Stechenberg","Gimmelwald, Bern, Switzerland","12.2 km","818 m","Point to point","• From September 2023, the summit of this hike will only be accessible via Schafläger-Oberhornsee. The part of the path that leads down to Schwand is still closed. Therefore, this path cannot be walked as a circular route, but only as an out and back route. More information: https://www.aacb.ch/huetten/schmadrihuette/

This unique hike is located in the Lauterbrunnen valley near Gimmelwald in the canton of Bern. The path begins in Gimmelwald and leads through the Sefinental and below the Spitzhoren (2211 m) to the Berghotel Obersteinberg (1778 m). Then it goes through the valley along the Weiße Lutschine and past the fantastic Talbachfall to Stechelberg. This beautiful hike offers a breathtaking panorama of the surrounding glaciers and the world-famous Eiger, Mönch and Jungfrau.","Hard","4.8","(48)","HikingBird watchingRunningForestRiverViewsWaterfallWildflowersWildlifeHistoric site"
"1700580169-905","https://www.alltrails.com/switzerland/bern","","Daube - Oberberghorn via Schynige Platte Panoramawanderung","https://www.alltrails.com/trail/switzerland/bern/daube-oberberghorn-via-schynige-platte-panoramawanderung","Daube - Oberberghorn via Schynige Platte Panoramawanderung","Interlaken, Bern, Switzerland","3.1 km","123 m","Loop","","Moderate","4.6","(50)","HikingViewsWildflowersWildlifeRockyScramble"
"1700580177-906","https://www.alltrails.com/switzerland/bern","","Bachalpsee via Waldspitz","https://www.alltrails.com/trail/switzerland/bern/bachalpsee-from-waldspitz","Bachalpsee via Waldspitz","Grindelwald, Bern, Switzerland","6.6 km","381 m","Out & back","The Bachalpsee (2266m), also called Bachsee, is a beautiful mountain lake near the First above Grindelwald. A great tour with fantastic views of the imposing mountain ranges of the Bernese Oberland. The same route leads back to the Waldspitz Mountain Restaurant.

The starting point at the Waldspitz Mountain Restaurant can only be reached by bus from Grindelwald. All further information and the bus timetables are available here:
https://www.grindelwaldbus.ch/en/timetable/timetable-summer","Moderate","4.5","(25)","HikingBird watchingRunningLakeRiverViewsWaterfallWildflowersWildlifeRockySnowNo shadeFee"
"1700580186-907","https://www.alltrails.com/switzerland/bern","","Oeschinensee - Oberbärgli - Blümlisalphütte","https://www.alltrails.com/trail/switzerland/bern/oeschinensee-oberbargli-blumlisalphutte","Oeschinensee - Oberbärgli - Blümlisalphütte","Kandersteg, Bern, Switzerland","6.8 km","1,240 m","Point to point","This trail starts at the Berghaus Oeschinensee, right on the shore of the lake. It leads along the water, with great views of the lake and the surrounding area. Then it goes up to Oberbärgli through partly stony terrain. With great views of the surrounding glacier landscape, it finally reaches the Blüemlisalphütte (2840m) on the Hohtürli.

All useful information about the Oeschinensee region can be found here:
https://www.oeschinensee.ch/","Hard","4.6","(29)","BackpackingHikingBird watchingRunningForestLakeRiverViewsWaterfallWildflowersWildlifeRockyScrambleSnowNo shade"
"1700580194-908","https://www.alltrails.com/switzerland/bern","","Stechelberg - Mürren","https://www.alltrails.com/trail/switzerland/bern/stechelberg-murren","Stechelberg - Mürren","Stechelberg, Bern, Switzerland","6.1 km","884 m","Point to point","This hike offers some beautiful views and is quite steep in some places. It is possible to park at the Stechelberg cable car. The path initially continues in a southerly direction into the Lauterbrunnen Valley. Through the forest and over Gimmelwald, it goes up to the mountain village of Mürren. The path is well-marked, and there are several benches where hikers can relax and enjoy the fantastic view.

It is possible to return to the starting point with the Schilthorn cable car. Further information, prices, and opening times can be found here:
https://schilthorn.ch/","Hard","4.8","(45)","Dogs on leashHikingBird watchingRunningForestLakePartially pavedRiverViewsWaterfallWildflowersWildlifeNo shade"
"1700580201-909","https://www.alltrails.com/switzerland/bern","","Lauterbrunnen - Wengen - Kleine Scheidegg","https://www.alltrails.com/trail/switzerland/bern/lauterbrunnen-kleine-scheidegg","Lauterbrunnen - Wengen - Kleine Scheidegg","Lauterbrunnen, Bern, Switzerland","18.3 km","1,268 m","Out & back","Wonderful but exhausting route in a wonderful landscape! Enjoy the view of the region's peaks. The path starts in the famous Lauterbrunnen where the beautiful Trümmelbach Falls are and goes up to Wengen, which is world-famous for its downhill skiing, and ends at the Kleine Scheidegg pass.","Hard","4.6","(39)","HikingRunningForestRiverViewsWildflowers"
"1700580213-910","https://www.alltrails.com/switzerland/bern","","Giessbach Falls - Hotel Giessbach","https://www.alltrails.com/trail/switzerland/bern/giessbachfalle-hotel-giessbach","Giessbach Falls - Hotel Giessbach","Brienz, Bern, Switzerland","0.6 km","40 m","Loop","A pure pleasure in a short hike to the world-famous Giessbach Falls, a series of 14 waterfalls in a 500 meter stretch. The Giessbach river starts in the high valleys and basins of the Faulhorn-Sägistal area, feeds the Giessbach Falls and ends in Lake Brienz. Historic Grand Hotel Giessbach nearby was built in 1873 and can be reached from lake Giessbachsee with the Giessbachbahn, the oldest funicular in Europe built in 1879.The trail also goes to the Horace Edouard Davinet monument. A well-known Franco-Swiss architect who lived in Bern until 1922.","Moderate","4.6","(39)","Dogs on leashKid friendlyWalkingLakeRiverViewsWaterfallWildflowers"
"1700580223-911","https://www.alltrails.com/switzerland/bern","","Harder Kulm - Augustmatthorn - Oberreid","https://www.alltrails.com/trail/switzerland/bern/harder-kulm-augustmatthorn-oberreid","Harder Kulm - Augustmatthorn - Oberreid","Thunerlake Hohgant Nature Park","19.0 km","1,724 m","Point to point","This beautiful path leads along the Hardergratweg to the summits of Wannichnubel, Höhi Egg, Roteflue, Augustmatthorn, Riedergrat Flaschenhübel all at an altitude between 1600 and 2200m. The trail then leads down to Oberried at the Flaschenhubel. Very nice views of the mountains of the Bernese Alps and Lake Brienz next to Brienz in the Swiss canton of Bern.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Hard","4.7","(48)","HikingRunningDog friendlyForestLakeRiverViewsWildlifeNo shadeHistoric site"
"1700580231-912","https://www.alltrails.com/switzerland/bern","","Schynige Platte - Berghaus Männlichen","https://www.alltrails.com/trail/switzerland/bern/schynige-platte-berghaus-mannlichen","Schynige Platte - Berghaus Männlichen","Gsteigwiler, Bern, Switzerland","7.6 km","520 m","Point to point","The Schynige Platte is a hiking paradise - a starting point for unforgettable hikes. The way goes to the Berghaus Männlichen. The Berghaus Männlichen is located 2225 meters above sea level and offers a sun terrace with a wonderful view of the Swiss Alps","Hard","4.7","(27)","BackpackingHikingBird watchingRunningViewsWildflowersRocky"
"1700580239-913","https://www.alltrails.com/switzerland/bern","","Wengen - Hunneflue","https://www.alltrails.com/trail/switzerland/bern/wengen-hunneflue","Wengen - Hunneflue","Wengen, Bern, Switzerland","3.5 km","116 m","Out & back","This is a fantastic hike for the entire family with great views. The starting point is at the tourist office in Wengen. From there the trail goes along the road towards Ledi where there are views of the Lauterbrunnen valley.  The path then goes through a beautiful forest to the Hunneflue panorama point, where hikers can enjoy majestic views of Zweilütschinen, Wilderswil, Interlaken and the Lütschental valley.","Easy","4.5","(65)","Kid friendlyHikingForestPartially pavedViewsWildflowers"
"1700580249-914","https://www.alltrails.com/switzerland/bern","","Gimmelwald - Lauterbrunnen","https://www.alltrails.com/trail/switzerland/bern/gimmelwald-lauterbrunnen","Gimmelwald - Lauterbrunnen","Gimmelwald, Bern, Switzerland","10.5 km","747 m","Point to point","Gimmelwald is a beautiful mountain village, which at 1367 m above sea level. M. is and is in the Bernese Oberland between Stechelberg and Mürren. The village of Gimmelwald is car-free and is directly connected to Stechelberg and Mürren by a cable car. The path goes to Lauterbrunnen, a very famous village for its Trümmelbach Falls.","Hard","4.7","(58)","HikingRunningForestRiverViewsWaterfallWildflowers"
"1700580258-915","https://www.alltrails.com/switzerland/bern","","Via Alpina Green Trail, Segment 9: Meiringen - Grindelwald","https://www.alltrails.com/trail/switzerland/bern/via-alpina-gruner-weg-etappe-9-meiringen-grindelwald","Via Alpina Green Trail, Segment 9: Meiringen - Grindelwald","Meiringen, Bern, Switzerland","23.2 km","1,437 m","Point to point","The trail leaves Meiringen toward the Reichenbach Falls, which became world famous through Sherlock Holmes. Via Rosenlaui, it climbs up to the Grosse Scheidegg (1962m) and offers excellent views. The easy descent at the foot of the Wetterhorn leads to Grindelwald, the segment destination. The bus from Meiringen-Grindelwald can be used in several places on this segment to shorten it.

The overview list for all segments of the Green Trail can be found here: https://www.alltrails.com/lists/via-alpina-green-trail-sucka-lenk","Hard","4.6","(53)","BackpackingCampingHikingBird watchingRunningForestLakePartially pavedRiverViewsWaterfallWildflowersWildlife"
"1700580266-916","https://www.alltrails.com/switzerland/bern","","Birg - Bryndli - Mürren","https://www.alltrails.com/trail/switzerland/bern/birg-bryndli-murren","Birg - Bryndli - Mürren","Mürren, Bern, Switzerland","8.7 km","85 m","Point to point","Mürren is a Swiss mountain village at the foot of the Schilthorn and is located in the Bernese Alps in the canton of Bern. The car-free town can be reached by cable car. The trail begins on the Birg (2684m), where the Schilthorn gondola from Mürren arrives. The environment is very alpine, with majestic mountains and idyllic nature. The region is a very popular hiking area.

Further information, prices, and opening hours of the Schilthornbahn can be found here:
https://schilthorn.ch/","Moderate","4.4","(67)","HikingBird watchingRunningDog friendlyForestLakeRiverViewsWaterfallWildflowersWildlifeRockyScrambleSnowNo shadeFee"
"1700580275-917","https://www.alltrails.com/switzerland/bern","","Gelmersee Loop","https://www.alltrails.com/trail/switzerland/bern/gelmersee-rundweg","Gelmersee Loop","Guttannen, Bern, Switzerland","4.7 km","134 m","Loop","The trail begins at the mountain station of a very impressive funicular. The tour around the lake is enchanting, surrounded by granite walls that dip into the lake. A white-red-white marked mountain trail leads around the Gelmersee Lake. On the northern shore, the path is carved into the steep rock face. The high alpine mountain world can be enjoyed and marveled at from various perspectives on this hike around Lake Gelmer.

Further information, prices, and opening hours of the Gelmerbahn can be found here:
https://www.grimselwelt.ch/bahnen/gelmerbahn/","Moderate","4.6","(57)","Kid friendlyHikingBird watchingRunningLakeRiverViewsWaterfallWildflowersWildlifeRockyNo shadeFee"
"1700580282-918","https://www.alltrails.com/switzerland/bern","","Schynige Platte - Daube via Panoramaweg","https://www.alltrails.com/trail/switzerland/bern/schynige-platte-daube-uber-panoramaweg","Schynige Platte - Daube via Panoramaweg","Wilderswil, Bern, Switzerland","1.9 km","100 m","Loop","A short great circular hike near Interlaken. The path leads from the Schynige Platte station through the Alpine Garden up to the Daube (2076 m). The panorama trail then leads back to the starting point. Visitors can enjoy a fantastic view over Lake Thun, Lake Brienz, and the Jungfrau region.

The starting point can be reached with the Schynige Platte Railway. Further information, prices, and opening times can be found here:
https://www.jungfrau.ch/en-gb/schynige-platte/","Moderate","4.6","(52)","Kid friendlyHikingBird watchingRunningDog friendlyForestViewsWildflowersWildlifeRockyNo shadeFee"
"1700580290-919","https://www.alltrails.com/switzerland/bern","","Alpiglen - Grindelwaldblick","https://www.alltrails.com/trail/switzerland/bern/alpiglen-grindelwaldblick","Alpiglen - Grindelwaldblick","Grindelwald, Bern, Switzerland","7.9 km","712 m","Point to point","Discover this high-altitude hike in the canton of Bern, which is also suitable for runners.

The starting point is at Alpiglen and from there you follow the Eiger Trail over Alp Wärgistal to the Fallbodensee (2149 m). The path then leads over the mountain ridge to Kleine Scheidegg (2061 m) and on to the beautiful Grindelwaldblick mountain hut (2109 m). This hut offers you authentic Swiss cuisine with a view of the Eiger and Mönch.","Hard","4.7","(50)","HikingRunningForestLakeRiverViewsWaterfallWildflowers"
"1700580299-920","https://www.alltrails.com/switzerland/bern","","Hardergrat: Harder Kulm - Brienzer Rothorn","https://www.alltrails.com/trail/switzerland/bern/hardergrat-harder-kulm-brienzer-rothorn","Hardergrat: Harder Kulm - Brienzer Rothorn","Thunerlake Hohgant Nature Park","20.4 km","1,996 m","Point to point","The Harder Kulm is Interlaken's ""local mountain"". A prominent vantage point of the Emmental Alps and is located at an altitude of 1321 m. The path begins either down in the valley in Interlaken or at the mountain station of the Harderbahn funicular railway.

Then it goes along the Hardergrat ridge to the Brienzer Rothorn, which lies on the border between the cantons of Lucerne, Obwalden and Bern. Fantastic views, especially of Lake Brienz. After climbing the Brienzer Rothorn, one is able to take the Sörenberg - Brienzer Rothorn cable car back down to the valley. This is a demanding tour with many meters of altitude and few resting places along the way and no hut with overnight accommodation from kilometer six of the tour.

More information about the railway is available here: https://www.jungfrau.ch/en-gb/plan-book/timetable/

More information about the cable car is available here: https://www.soerenberg.ch/de/bergbahnen/betriebszeiten/betriebszeiten-sommer/","Hard","4.5","(51)","BackpackingHikingBird watchingDog friendlyForestLakeRiverViewsWildflowersWildlifeNo shadeFee"
"1700580307-921","https://www.alltrails.com/switzerland/bern","","Mürren - Stechelberg via Tanzbödeli","https://www.alltrails.com/trail/switzerland/bern/murren-to-stechelberg-via-tanzbodeli","Mürren - Stechelberg via Tanzbödeli","Mürren, Bern, Switzerland","14.2 km","865 m","Point to point","The views along this route are fantastic; the hike is incredible but challenging. From Mürren, it first goes down into the Sefinental and steeply up to the Tanzbödeli. That is where a steady descent begins, which passes by the Berghotel Obersteinberg (1778m)and the Tschingelhorn Mountain Inn (1678m), and leads through a dreamy natural landscape to the valley station of the Schilthornbahn.

The starting point of this hike can be reached with the Schilthornbahn. Further information, prices, and opening times can be found here:
https://schilthorn.ch/","Hard","4.8","(60)","HikingBird watchingRunningForestRiverViewsWaterfallWildflowersWildlifeRockySnowNo shadeFee"
"1700580313-922","https://www.alltrails.com/switzerland/bern","","Grindelwald - Marmorbruch","https://www.alltrails.com/trail/switzerland/bern/grindelwald-marmorbruch","Grindelwald - Marmorbruch","Grindelwald, Bern, Switzerland","6.8 km","485 m","Loop","This tour starts at the train station in Grindelwald and leads through the village to the Schwarze Lütschine River. Then the path climbs through the forest, over the Pfingstegg (1392m) to the marble quarry (1120m) and the mountain inn. Also nearby is the Weisse Lütschine glacier gorge, which is worth a visit.

The ascent is relatively steep and requires good physical condition.","Hard","4.6","(73)","Dogs on leashHikingBird watchingRunningForestPartially pavedRiverViewsWildflowersWildlifeHistoric site"
"1700580321-923","https://www.alltrails.com/switzerland/bern","","Lauterbrunnen - Winteregg","https://www.alltrails.com/trail/switzerland/bern/lauterbrunnen-winteregg","Lauterbrunnen - Winteregg","Lauterbrunnen, Bern, Switzerland","3.7 km","774 m","Point to point","A fantastic ascent hike in the Lauterbrunnen valley starting in Lauterbrunnen. The path leads through the village and then along the Gryffenbach. You then cross it and walk through an idyllic forest over the Staubbach and further up to the Winteregg mountain restaurant. Here you have a fantastic view of the majestic Eiger, Mönch and Jungfrau.

You can find more information about the Winteregg mountain restaurant here:
https://www.restaurant-winteregg.ch/

Further information, timetables and prices for the railways can be found here:
https://www.jungfrau.ch/en-gb/winteregg-muerren/","Hard","4.6","(50)","HikingBird watchingRunningDog friendlyForestRiverViewsWaterfallWildflowersWildlife"
"1700580327-924","https://www.alltrails.com/switzerland/bern","","Kleiner Rugen via Ringweg","https://www.alltrails.com/trail/switzerland/bern/kleiner-rugen-via-ringweg","Kleiner Rugen via Ringweg","Interlaken, Bern, Switzerland","3.1 km","137 m","Loop","On the Ringweg around the Kleiner Rugen (733m), hikers will learn about one of the most interesting chapters in the history of the Oberland. The trail is located in Interlaken in the Swiss canton of Bern and leads through an idyllic forest. A great, short, and varied hiking trail that is perfect for a trip with the whole family.","Moderate","4.4","(100)","Kid friendlyHikingBird watchingRunningDog friendlyForestViewsWildflowersWildlife"
"1700580336-925","https://www.alltrails.com/switzerland/bern","","Stechelberg - Gimmelwald - Oberhornsee","https://www.alltrails.com/trail/switzerland/bern/stechelberg-gimmelwald-oberhornsee","Stechelberg - Gimmelwald - Oberhornsee","Gimmelwald, Bern, Switzerland","20.1 km","1,275 m","Point to point","• From September 2023, the summit of this hike will only be accessible via Schafläger-Oberhornsee. The part of the path that leads down to Schwand is still closed. Therefore, this path cannot be walked as a circular route, but only as an out and back route. More information: https://www.aacb.ch/huetten/schmadrihuette/

This beautiful hiking trail starts in Gimmelwald (1363m) by the middle station of the Schilthornbahn cable car. The path leads past several of the many famous waterfalls in the Lauterbrunnen valley. Around the foothills of the Spithorn (2211m) to the Berghotel Obersteinberg (1778m) and on to the small shimmering Oberhornsee lake. Over the steep slopes of the surrounding mountains and glaciers, it goes down to Trachsellauenen and on valley floor in the direction of Stechelberg.

Fantastic alpine nature with beautiful vantage points and impressive waterfalls in the rear Lauterbunnental in the canton of Bern.","Hard","4.7","(71)","BackpackingHikingForestLakeRiverViewsWaterfallWildflowersWildlifeBugsOver grownRockyHistoric siteNo dogs"
